1,NULL
3,5
4,22
5,NULL
6,81
7,41
8,37
9,23
10,24
11,25
12,26
13,38
14,170
15,169
16,171
17,173
18,182
19,184
20,166
21,167
22,NULL
23,175
24,172
25,177
26,48
27,181
28,174
29,168
30,47
31,178
32,179
33,NULL
34,128
35,120
36,124
37,123
38,142
39,21
40,115
41,121
42,15
43,9
44,7
45,NULL
46,NULL
47,11
48,116
49,12
50,13
51,10
52,122
53,14
54,8
55,18
56,16
57,17
58,125
59,127
60,156
61,157
62,158
63,19
64,126
65,NULL
66,118
67,117
68,NULL
69,1
70,143
71,114
72,129
73,110
74,119
75,140
76,131
77,132
78,138
79,130
80,113
81,NULL
82,133
83,103
84,109
85,112
86,195
87,136
88,44
89,135
90,NULL
91,111
92,105
93,106
94,107
95,108
96,134
97,NULL
98,104
99,141
100,74
101,100
102,NULL
103,91
104,39
105,NULL
106,NULL
107,89
108,88
109,57
110,42
111,96
112,NULL
113,NULL
114,70
115,68
116,78
117,64
118,65
119,83
120,NULL
121,67
122,90
123,NULL
124,58
125,99
126,165
127,49
128,36
129,6
130,NULL
131,161
132,162
133,180
134,72
135,163
136,NULL
137,164
138,200
139,46
140,NULL
141,102
142,87
143,51
144,63
145,98
146,NULL
147,95
148,56
INSERT INTO `users` `id`,`address_id`VALUES
149,97
150,93
151,61
152,4
153,54
154,80
155,NULL
156,NULL
157,76
158,3
159,69
160,NULL
161,79
162,NULL
163,60
164,75
165,160
166,85
167,86
168,50
169,82
170,NULL
172,176
173,40
174,55
175,53
176,52
177,73
178,59
179,194
180,NULL
181,94
182,77
183,62
184,159
185,153
186,193
187,191
188,186
189,185
190,189
191,45
192,196
193,101
194,199
195,144
196,146
197,147
198,43
199,155
200,154
201,188
202,145
203,149
204,148
205,192
206,197
207,151
208,152
209,198
210,150
216,29
217,28
218,183
219,2
225,27
226,30
227,31
228,32
229,33
230,34
231,35
232,NULL
233,NULL
452,NULL
453,NULL
458,NULL
459,NULL
460,NULL
461,NULL
464,NULL
470,NULL
471,NULL
474,84
476,NULL
479,NULL
480,NULL
481,NULL
482,NULL
484,NULL
485,NULL
486,NULL
487,NULL
488,NULL
489,NULL
490,NULL
491,NULL
492,NULL
493,NULL
494,NULL
497,NULL
498,NULL
499,NULL
500,NULL
501,NULL
502,NULL
503,NULL
504,255
505,NULL
506,NULL
508,20
509,NULL
510,NULL
511,NULL
515,NULL
517,NULL
518,NULL
519,215
520,221
521,NULL
522,223
523,218
524,213
525,214
526,222
527,220
528,216
529,219
530,NULL
531,224
532,217
533,225
534,NULL
535,226
536,NULL
537,227
538,NULL
539,NULL
540,NULL
541,NULL
542,NULL
543,228
544,229
545,230
546,231
547,232
548,233
549,234
550,235
551,236
552,237
553,238
554,239
555,240
556,241
557,242
558,212
559,243
560,244
561,245
562,246
563,247
564,248
565,249
566,250
567,251
568,252
569,253
570,254
571,NULL
572,NULL
573,NULL
574,NULL
575,NULL
576,NULL
577,NULL
