42040098,REGIONAL BAJA CALIFORNIA,REGIONAL BAJA CALIFORNIA,DIRECCION DIVISIONAL NORTE,AFORE,NUEVO CORPORATIVO TIJUANA,Paseo de los Héroes #2410 Esquina Clemente Orozco Col. Zona Rio de la Ciudad de Tijuana S/N Edificio Paseo Palmas locales 102 y 400 CP 22230
10010113,C.E. INSURGENTES,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,SAN ANGEL,"AV. INSURGENTES SUR No. 2047 PB  COL. SAN ANGEL, DELEG. ALVARO OBREGÓN C.P. 01000 MÉX, D.F."
40100002,C.E. LORETO,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,SAN ANGEL,"AV. INSURGENTES SUR No. 2047 PB  COL. SAN ANGEL, DELEG. ALVARO OBREGÓN C.P. 01000 MÉX, D.F."
40100003,C.E. QUERETARO SANTIAGO,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,QUERETARO,"Blvd. Bernardo Quintana Arrioja # 4100, Fraccionamiento Alamos 3 seccion 5 piso. CP 76160, Queretaro, Qro. Plaza Bulevares              "
40100004,C.E. LOS ALTOS,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,GUADALAJARA," Av. Chapultepec Norte no. 15, piso 19, col. Ladrón de Guevara, CP 44600, Guadalajara Jalisco."
40100005,C.E. ROSARITO,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,NUEVO CORPORATIVO TIJUANA,Paseo de los Héroes #2410 Esquina Clemente Orozco Col. Zona Rio de la Ciudad de Tijuana S/N Edificio Paseo Palmas locales 102 y 400 CP 22230
40100006,C.E. VILLAMONTAÑA,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,MONTERREY,"Doctor Coss 731, Colonia Centro, CP 64000 en la Ciudad de Monterrey, Estado de Nuevo León"
40100007,C.E. BUENAVISTA,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,MONTEVIDEO,"Av. Monteviedo no. 57 y 63,  piso 2 col. Tepeyac Insurgentes, CP 07020, del. Gustavo A. Madero, México D.F."
40100008,C.E. PALMAS,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,SALINILLAS,"Presa Salinillas # 370 Piso 9 int. 901 y 903, col. Irrigación, CP 11500, del. Miguel Hidalgo, México D.F. "
40100009,C.E. AJUSCO,REGIONAL DE CUENTAS ESPECIALES,DIRECCION MERCADOTECNIA Y VALOR AL CLIENTE,AFORE,SAN ANGEL,"AV. INSURGENTES SUR No. 2047 PB  COL. SAN ANGEL, DELEG. ALVARO OBREGÓN C.P. 01000 MÉX, D.F."
