region,name,address
METROPOLITANA SUR,ACAPULCO,"Av. Costera Miguel Alemán #2322 1er Piso Int. Torre Flomerc Col. Fraccionamiento Club Deportivo C P 39690 Acapulco, Gro"
METROPOLITANA ORIENTE,DF/ HAMBURGO,"CALLE HAMBURGO 206 CO. ROMA SUR CIUDAD DE MEXICO"
METROPOLITANA ORIENTE,TOLUCA,"Isidro Fabela #725-A Col. San Sebastián CP 50150  Toluca, Estado de México"
METROPOLITANA PONIENTE,DF/ SALINILLAS,"PRESA SALINILLAS 370 PISO 9 IRRIGACION DELEGACION MIGUEL HIDALGO C.P 11500 CIUDAD DE MEXICO"
METROPOLITANA PONIENTE,TEQUESQUINAHUAC,"AV GUSTAVO BAZ 230 LOC 101 AL 111 TEQUEXQUINAHUAC 54020 ESTADO DE MÉXICO"


















































